Galaxy	RA_deg  	DEC_deg	SBF	 NED-D	Virgo_kms	VHel_Mpc	D_mag	M_K_mag	A_B	ttype 	log_Re	Rmax	Epsilon_e	Epsilon_e2	Band	VSigma_e	VSigma_e2	LambdaR_e	LambdaR_e2	FS_e	FS_e2	Source	Class	Filter	Rb_asec	mu	alpha	beta	gamma	gamma_prime	RMS	Rgamma_asec	Rgamma_pc	Kinematic_Group	LABEL
NGC4078	181.198456	10.595537	0	0	0	2546	38.1	-22.99	0.11	-2	0.92	2	0.561	0.51	S	0.575	0.524	0.523	0.496	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4111	181.763031	43.065392	1	1	0	792	14.6	-23.27	0.06	-1.4	1.08	1.25	0.582	0.498	S	0.72	0.663	0.619	0.567	F	F	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
NGC4119	182.040176	10.37872	0	0	1	1656	16.5	-22.6	0.12	-1.3	1.6	0.61	0.598	0.563	G	0.895	0.808	0.701	0.66	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4143	182.40036	42.534218	1	2	0	946	15.5	-23.1	0.05	-1.9	1.39	0.73	0.39	0.324	G	0.504	0.369	0.538	0.398	F	F	Ravindranath et al. (2001)	power-law	NICMOS: see Source	3.11	17.11	1.3	2.18	0.59	0.61		-0.1	-7.51	regular-rotators	core
NGC4150	182.640228	30.401487	1	4	0	208	13.4	-21.65	0.08	-2.1	1.2	0.98	0.328	0.274	G	0.514	0.337	0.513	0.338	F	F	Ravindranath et al. (2001)	power-law	NICMOS: see Source	0.63	15.8	1.2	1.67	0.58	0.68		-0.1	-6.5	regular-rotators	core
NGC4168	183.071808	13.205354	0	1	0	2286	30.9	-24.03	0.16	-4.8	1.48	0.46	0.129	0.129	G	0.047	0.047	0.04	0.04	S	S	Rest et al. (2001)	core (flat)	WFPC2: see Source	2.02	18.06	1.4	1.39	0.17	0.17		0.99	148.98	KDCs (and counter-rotating cores)	core-less
NGC4179	183.217087	1.299673	0	0	1	1300	16.5	-23.18	0.14	-1.9	1.3	0.77	0.591	0.501	G	0.589	0.47	0.587	0.48	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4191	183.459915	7.200842	0	0	0	2646	39.2	-23.1	0.09	-1.8	1.06	1.54	0.269	0.092	G	0.105	0.073	0.107	0.059	S	S	no imaging	not measured	no imaging						unknown					unknown
NGC4203	183.770935	33.197243	1	2	0	1087	14.7	-23.44	0.05	-2.7	1.47	0.59	0.154	0.18	G	0.281	0.255	0.305	0.275	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F555W	4.52	19.13	1.61	2.56	0.73	0.74	0.07	-0.1	-7.13	regular-rotators	core
NGC4215	183.977142	6.401132	0	0	0	2011	31.5	-23.43	0.07	-0.9	1.18	0.83	0.702	0.444	G	0.516	0.363	0.553	0.37	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4233	184.282043	7.624434	0	1	0	2306	33.9	-23.88	0.1	-2	1.19	1.15	0.277	0.162	G	0.578	0.401	0.564	0.39	F	F	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
NGC4249	184.49765	5.59872	0	0	0	2618	38.7	-21.98	0.09	-1.3	1.1	1.32	0.048	0.04	G	0.204	0.142	0.194	0.127	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4251	184.534607	28.175299	1	1	0	1066	19.1	-23.68	0.1	-1.9	1.29	0.79	0.508	0.387	G	0.637	0.503	0.584	0.466	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4255	184.7341	4.785923	0	0	0	1995	31.2	-22.99	0.09	-1.9	1.1	1.34	0.434	0.127	S	0.622	0.374	0.606	0.37	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4259	184.842468	5.376242	0	0	0	2497	37.2	-22.19	0.08	-2	0.89	1.93	0.553	0.45	G	0.231	0.081	0.237	0.068	F	S	no imaging	not measured	no imaging						unknown					unknown
NGC4261	184.846924	5.82471	1	5	0	2212	30.8	-25.18	0.08	-4.8	1.58	0.44	0.222	0.222	G	0.09	0.09	0.085	0.085	S	S	Ravindranath et al. (2001)	core (flat)	NICMOS: see Source	1.62	16.43	2.4	1.43	0	0		1.25	186.79	featureless non-regular rotators	core-less
NGC4262	184.877426	14.877717	2	1	1	1375	15.4	-22.6	0.16	-2.7	1.1	1.39	0.117	0.117	G	0.297	0.254	0.309	0.25	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	2.59	17.07	5	1.96	0.76	0.76	0.03	-0.1	-7.47	regular-rotators	core
NGC4264	184.899078	5.846804	0	0	0	2518	37.5	-23	0.08	-1.1	1.14	1.26	0.191	0.191	G	0.541	0.355	0.499	0.341	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4267	184.938675	12.798356	2	1	1	1021	15.8	-23.18	0.2	-2.7	1.58	0.53	0.079	0.079	G	0.26	0.241	0.282	0.253	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	2.97	17.52	2.29	1.9	0.71	0.71	0.01	-0.1	-7.66	regular-rotators	core
NGC4268	184.946762	5.28365	0	0	0	2034	31.7	-23.05	0.08	-0.3	1.2	0.93	0.552	0.348	G	0.491	0.333	0.492	0.33	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4270	184.955978	5.463371	0	0	0	2331	35.2	-23.69	0.08	-2	1.21	0.96	0.543	0.424	G	0.378	0.289	0.406	0.294	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	intermediate	F606W	0.73	17.48	2.21	1.29	0.43	0.44	0.02	0.24	41.61	regular-rotators	core
NGC4278	185.02832	29.280619	1	9	0	620	15.6	-23.8	0.13	-4.8	1.5	0.72	0.103	0.134	G	0.201	0.208	0.178	0.203	F	F	Lauer et al. (2007)	core (flat)	WFPC2: see Source	1.26	16.2	1.4	1.46	0.06	0.1		0.72	54.58	regular-rotators	core-less
NGC4281	185.089691	5.38643	0	1	0	2671	24.4	-24.01	0.09	-1.5	1.34	0.69	0.535	0.502	G	0.757	0.702	0.651	0.621	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F606W	0.09	15.23	3.59	0.89	0.06	0.56	0.01	0.09	11.01	regular-rotators	core
NGC4283	185.086609	29.310898	1	3	0	1056	15.3	-21.8	0.11	-4.8	1.09	1.44	0.033	0.031	G	0.172	0.155	0.171	0.151	F	F	ACS (Krajnovic et al. 2013b)	power-law	F475W	4.81	19.44	2.32	2.35	0.8	0.8	0.04	-0.1	-7.42	regular-rotators	core
NGC4324	185.775726	5.250488	0	0	1	1665	16.5	-22.61	0.1	-0.9	1.3	0.83	0.434	0.197	G	0.639	0.407	0.592	0.389	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4339	185.895599	6.081713	1	3	1	1266	16	-22.49	0.11	-4.7	1.48	0.55	0.06	0.06	G	0.311	0.302	0.325	0.312	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F606W	23.29	24	1.08	5.93	0.8	0.81	0.03	-0.1	-7.76	regular-rotators	core
NGC4340	185.897141	16.722195	0	2	1	933	18.4	-23.01	0.11	-1.2	1.57	0.62	0.227	0.237	G	0.499	0.481	0.458	0.442	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	1.91	17.45	4.27	1.44	0.68	0.68	0.03	-0.1	-8.92	regular-rotators	core
NGC4342	185.912598	7.053936	0	0	1	761	16.5	-22.07	0.09	-3.4	0.82	2.45	0.442	0.263	S	0.537	0.307	0.528	0.306	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F555W	8.38	24	0.56	8.53	-0.12	0.55	0.02	0.09	6.92	regular-rotators	core
NGC4346	185.866425	46.993881	1	1	0	832	13.9	-22.55	0.05	-2	1.29	0.77	0.533	0.36	G	0.571	0.428	0.576	0.439	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4350	185.990891	16.693356	0	2	1	1210	15.4	-23.13	0.12	-1.8	1.23	0.77	0.674	0.55	G	0.658	0.46	0.638	0.48	F	F	ACSVCS (Ferrarese et al. 2006)	intermediate	F475W	0.94	15.71	5	1.24	0.47	0.47	0.06	0.5	36.97	regular-rotators	core
NGC4365	186.117615	7.31752	2	13	0	1243	23.3	-25.21	0.09	-4.8	1.72	0.33	0.254	0.254	G	0.114	0.114	0.088	0.088	S	S	ACSVCS (Ferrarese et al. 2006)	core (flat)	F475W	2.07	16.71	1.53	1.5	-0.01	0	0	1.33	150.58	KDCs (and counter-rotating cores)	core-less
NGC4371	186.230957	11.704288	2	1	1	933	17	-23.45	0.16	-1.3	1.47	0.51	0.309	0.313	G	0.541	0.541	0.482	0.482	F	F	ACSVCS (Ferrarese et al. 2006)	intermediate	F475W	0.53	16.26	3.45	0.81	0.27	0.27	0.02	0.49	40.06	regular-rotators	core-less
NGC4374	186.265747	12.88696	2	13	1	1017	18.5	-25.12	0.18	-4.3	1.72	0.44	0.147	0.147	G	0.026	0.026	0.024	0.024	S	S	ACSVCS (Ferrarese et al. 2006)	core (flat)	F475W	2.1	16.2	3.73	1.21	0.25	0.25	0.01	1.59	142.37	non-rotating galaxies	core-less
NGC4377	186.301285	14.762218	2	1	1	1338	17.8	-22.43	0.17	-2.6	1.13	1.3	0.157	0.228	S	0.443	0.314	0.473	0.338	F	F	ACSVCS (Ferrarese et al. 2006)	intermediate	F475W	1.49	16.8	0.83	2.2	0.22	0.41	0.01	0.17	14.64	regular-rotators	core
NGC4379	186.311386	15.607498	2	2	1	1074	15.8	-22.24	0.1	-2.8	1.27	0.9	0.224	0.258	G	0.386	0.294	0.398	0.3	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	59.5	23.24	0.39	4.15	0.16	0.46	0.02	0.14	10.37	regular-rotators	core
NGC4382	186.35022	18.19108	2	7	1	746	17.9	-25.13	0.13	-1.3	1.82	0.34	0.202	0.202	G	0.174	0.174	0.163	0.163	F	F	ACSVCS (Ferrarese et al. 2006)	core (flat)	F475W	0.9	14	0.8	1.56	-0.21	0.05	0.01	0.55	47.33	regular-rotators	core-less
NGC4387	186.423813	12.810359	2	3	1	565	17.9	-22.13	0.14	-4.9	1.2	1.1	0.373	0.351	G	0.391	0.315	0.399	0.317	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	18.17	20.9	1.4	3.61	0.63	0.63	0.01	-0.1	-8.68	regular-rotators	core
NGC4406	186.549225	12.94597	2	15	1	-224	16.8	-25.04	0.13	-4.8	1.97	0.24	0.211	0.211	G	0.09	0.09	0.052	0.052	S	S	ACSVCS (Ferrarese et al. 2006)	core (flat)	F475W	1.05	16	3.43	1.11	-0.02	-0.02	0.01	1	81.63	KDCs (and counter-rotating cores)	core-less
NGC4417	186.710938	9.584117	2	1	1	828	16	-22.86	0.11	-1.9	1.25	0.89	0.566	0.418	G	0.542	0.395	0.548	0.392	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	1.94	16.72	5	1.48	0.68	0.68	0.01	-0.1	-7.76	regular-rotators	core
NGC4425	186.805664	12.734803	0	0	1	1908	16.5	-22.09	0.13	-0.6	1.38	0.62	0.676	0.587	G	0.438	0.363	0.454	0.384	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4429	186.860657	11.10754	0	0	1	1104	16.5	-24.32	0.14	-1.1	1.62	0.48	0.402	0.402	G	0.455	0.455	0.396	0.396	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F606W	0.06	14.61	5	1.14	0.31	1.07	0.01	0.05	3.76	regular-rotators	core
NGC4434	186.902832	8.154311	2	5	0	1070	22.4	-22.55	0.1	-4.8	1.16	1.15	0.058	0.082	G	0.249	0.186	0.288	0.199	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	6.89	19.63	0.49	3.01	0.22	0.54	0.03	0.08	8.51	regular-rotators	core
NGC4435	186.918762	13.079021	2	0	1	791	16.7	-23.83	0.13	-2.1	1.49	0.52	0.468	0.465	G	0.672	0.667	0.599	0.597	F	F	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
NGC4442	187.01622	9.80362	2	1	1	547	15.3	-23.63	0.09	-1.9	1.44	0.62	0.335	0.307	G	0.35	0.329	0.363	0.338	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	55.8	21.73	0.54	3.79	0.41	0.52	0.02	0.07	5.28	regular-rotators	core
NGC4452	187.180417	11.755	0	2	1	188	15.6	-21.88	0.13	-2	1.3	0.42	0.88	0.88	G	0.765	0.765	0.648	0.648	F	F	ACSVCS (Ferrarese et al. 2006)	intermediate	F475W	4.91	18.87	5	1.55	0.39	0.39	0.04	3.13	236.49	regular-rotators	core
NGC4458	187.239716	13.241916	2	8	1	677	16.4	-21.76	0.1	-4.8	1.37	0.68	0.121	0.119	G	0.15	0.161	0.072	0.079	S	S	ACSVCS (Ferrarese et al. 2006)	intermediate	F475W	0.16	14.58	2.11	1.54	0.01	0.44	0	0.11	8.91	KDCs (and counter-rotating cores)	core
NGC4459	187.250107	13.97858	2	3	1	1192	16.1	-23.89	0.19	-1.4	1.56	0.64	0.148	0.128	G	0.477	0.45	0.438	0.408	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	0.46	15	3.64	1.32	0.48	0.49	0.01	0.17	12.94	regular-rotators	core
NGC4461	187.262543	13.183857	0	0	1	1924	16.5	-23.08	0.1	-0.8	1.4	0.68	0.392	0.306	G	0.486	0.405	0.511	0.43	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4472	187.444992	8.00041	2	18	1	981	17.1	-25.78	0.1	-4.8	1.98	0.26	0.172	0.172	G	0.073	0.073	0.077	0.077	S	S	ACSVCS (Ferrarese et al. 2006)	core (flat)	F475W	2.82	16.62	1.14	1.43	-0.15	-0.11	0.02	2.06	170.75	KDCs (and counter-rotating cores)	core-less
NGC4473	187.453659	13.42932	2	8	1	2260	15.3	-23.77	0.12	-4.7	1.43	0.71	0.421	0.396	G	0.255	0.263	0.229	0.25	F	F	ACSVCS (Ferrarese et al. 2006)	core (flat)	F475W	2.66	16.47	0.86	2.1	-0.02	0.1	0.02	0.72	53.4	2_ peak galaxies	core-less
NGC4474	187.473099	14.068673	2	1	1	1611	15.6	-22.28	0.18	-2	1.3	0.72	0.57	0.468	G	0.439	0.347	0.446	0.353	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	3.65	18.16	2.03	1.74	0.57	0.57	0.01	-0.1	-7.56	regular-rotators	core
NGC4476	187.49617	12.348669	2	3	1	1968	17.6	-21.78	0.12	-3	1.2	1.07	0.353	0.375	G	0.236	0.298	0.153	0.266	S	F	ACSVCS (Ferrarese et al. 2006)	intermediate	F475W	3.85	17.92	5	2	0.34	0.34	0.03	2.46	209.97	regular-rotators	core
NGC4477	187.509048	13.636443	0	0	1	1338	16.5	-23.75	0.14	-1.9	1.59	0.44	0.135	0.135	G	0.216	0.216	0.221	0.221	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	intermediate	F606W	4.89	22.31	1.48	10	0.35	0.38	0.01	0.3	23.72	regular-rotators	core
NGC4478	187.572662	12.328578	2	9	1	1375	17	-22.8	0.1	-4.8	1.2	0.98	0.165	0.175	G	0.221	0.175	0.233	0.177	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	0.47	15.86	3.69	1.01	0.35	0.35	0.01	0.34	27.8	regular-rotators	core
NGC4483	187.66925	9.015665	2	1	1	906	16.7	-21.84	0.09	-1.3	1.24	1.02	0.346	0.251	G	0.474	0.271	0.465	0.273	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	83.07	24	0.61	3.25	0.84	0.88	0.02	-0.1	-8.1	regular-rotators	core
NGC4486	187.705933	12.3911	2	15	1	1284	17.2	-25.38	0.1	-4.3	1.91	0.28	0.037	0.037	G	0.024	0.024	0.021	0.021	S	S	ACSVCS (Ferrarese et al. 2006)	core (flat)	F475W	8.19	17.9	2.32	1.51	0.23	0.23	0	4.64	386.74	non-rotating galaxies	core-less
NGC4486A	187.74054	12.270361	2	0	1	758	18.3	-21.82	0.1	-5	0.94	1.96	0.224	0.224	G	0.379	0.379	0.351	0.351	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	13.38	21.14	1.03	4.34	0.7	0.72	0.6	-0.1	-8.87	regular-rotators	core
NGC4489	187.717667	16.758696	2	5	1	961	15.4	-21.59	0.12	-4.8	1.42	0.62	0.085	0.075	G	0.176	0.125	0.168	0.117	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	1.89	18.13	1.05	2.21	0.57	0.64	0.01	-0.1	-7.47	KDCs (and counter-rotating cores)	core
NGC4494	187.850143	25.774981	1	9	0	1342	16.6	-24.11	0.09	-4.8	1.69	0.48	0.173	0.173	G	0.219	0.219	0.212	0.212	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	2.82	17.19	0.7	1.88	0.52	0.55		0.04	3.22	regular-rotators	core
NGC4503	188.025803	11.176434	0	0	1	1334	16.5	-23.22	0.22	-1.8	1.45	0.61	0.446	0.429	G	0.51	0.451	0.523	0.47	F	F	Rest et al. (2001)	power-law	WFPC2: see Source	1.65	17.14	1.8	1.3	0.64	0.65		-0.1	-8	regular-rotators	core
NGC4521	188.198853	63.939293	0	0	0	2511	39.7	-23.92	0.08	-0.1	1.21	0.89	0.566	0.482	G	0.794	0.566	0.682	0.534	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4526	188.512619	7.69914	1	5	1	617	16.4	-24.62	0.1	-1.9	1.65	0.45	0.361	0.361	G	0.563	0.563	0.453	0.453	F	F	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
NGC4528	188.525269	11.321266	2	0	1	1378	15.8	-22.05	0.2	-2	1.15	1.15	0.392	0.129	G	0.112	0.116	0.096	0.102	S	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	51.5	24	1.16	5.9	0.97	0.97	0.1	-0.1	-7.66	2_ peak galaxies	core
NGC4546	188.87294	-3.793227	1	2	0	1057	13.7	-23.3	0.15	-2.7	1.4	0.66	0.527	0.465	G	0.653	0.572	0.639	0.579	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F606W	2.07	17.21	1.44	1.68	0.78	0.79	0.01	-0.1	-6.64	regular-rotators	core
NGC4550	188.877548	12.220955	2	3	1	459	15.5	-22.27	0.17	-2.1	1.19	0.88	0.649	0.633	G	0.122	0.072	0.105	0.061	S	S	ACSVCS (Ferrarese et al. 2006)	intermediate	F475W	9.32	18.52	5	1.83	0.57	0.57	0.03	-0.1	-7.51	2_ peak galaxies	core
NGC4551	188.908249	12.26401	2	5	1	1176	16.1	-22.18	0.17	-4.9	1.22	0.92	0.284	0.259	G	0.311	0.285	0.295	0.259	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	54.71	24	1.09	5.91	0.75	0.76	0.02	-0.1	-7.81	regular-rotators	core
NGC4552	188.916183	12.55604	2	12	1	344	15.8	-24.29	0.18	-4.6	1.53	0.46	0.047	0.047	G	0.051	0.051	0.049	0.049	S	S	ACSVCS (Ferrarese et al. 2006)	core (flat)	F475W	0.1	14.69	0.26	2.91	-3	-0.03	0.03	0.42	32.17	featureless non-regular rotators	core-less
NGC4564	189.112473	11.43932	2	5	1	1155	15.8	-23.08	0.14	-4.8	1.31	0.78	0.56	0.477	G	0.64	0.532	0.619	0.536	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	100	23.97	0.79	4.92	0.79	0.81	0.09	-0.1	-7.66	regular-rotators	core
NGC4570	189.222504	7.246663	2	1	1	1787	17.1	-23.48	0.09	-2	1.3	0.7	0.626	0.551	G	0.586	0.47	0.603	0.498	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	4.53	17.51	3.22	1.56	0.85	0.85	0.02	-0.1	-8.29	regular-rotators	core
NGC4578	189.377274	9.555121	2	3	1	2292	16.3	-22.66	0.09	-2	1.51	0.7	0.289	0.282	G	0.669	0.596	0.596	0.544	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	3.95	18.39	4.75	1.55	0.89	0.89	0.02	-0.1	-7.9	regular-rotators	core
NGC4596	189.983063	10.176031	0	0	1	1892	16.5	-23.63	0.09	-0.9	1.59	0.56	0.254	0.254	G	0.31	0.297	0.297	0.28	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F555W	5.3	19.4	2.99	2.7	0.77	0.77	0.09	-0.1	-8	regular-rotators	core
NGC4608	190.305374	10.155793	0	0	1	1850	16.5	-22.94	0.07	-1.9	1.42	0.56	0.115	0.115	G	0.194	0.18	0.203	0.185	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4612	190.38649	7.314782	2	1	1	1775	16.6	-22.55	0.11	-2	1.4	0.75	0.204	0.196	R	0.428	0.345	0.407	0.324	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	1.77	17.14	4.46	1.71	0.64	0.64	0.01	-0.1	-8.05	regular-rotators	core
NGC4621	190.509674	11.64693	2	9	1	467	14.9	-24.14	0.14	-4.8	1.63	0.5	0.365	0.364	G	0.273	0.272	0.291	0.291	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	7.95	18.09	0.06	5.47	-3	0.68	0.04	0.02	1.66	regular-rotators	core
NGC4623	190.544601	7.676934	2	1	1	1807	17.4	-21.74	0.1	-1.5	1.31	0.64	0.673	0.648	G	0.66	0.602	0.598	0.564	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	10.18	20.06	0.75	0.1	2.12	2.06	0.85	-0.1	-8.44	regular-rotators	core
NGC4624	191.274826	3.055684	0	0	1	912	16.5	-23.67	0.1	-0.6	1.64	0.42	0.065	0.065	G	0.292	0.288	0.297	0.293	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4636	190.707779	2.68778	1	11	0	930	14.3	-24.36	0.12	-4.8	1.95	0.25	0.094	0.094	G	0.039	0.039	0.036	0.036	S	S	WPC2/PC1 (Krajnovic et al. 2013b)	core (flat)	F814W	10	19.75	2	6.45	0.26	0.26	0.07	2.01	139.24	non-rotating galaxies	core-less
NGC4638	190.697632	11.442459	2	2	1	1152	17.5	-23.01	0.11	-2.7	1.22	0.87	0.606	0.657	G	0.909	0.895	0.691	0.715	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	6.84	18.07	5	1.99	0.77	0.77	0.04	-0.1	-8.48	regular-rotators	core
NGC4643	190.833893	1.978399	0	0	1	1333	16.5	-23.69	0.13	-0.6	1.38	0.61	0.249	0.199	G	0.321	0.323	0.255	0.254	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4649	190.916702	11.55261	2	11	1	1110	17.3	-25.46	0.11	-4.6	1.82	0.35	0.156	0.156	G	0.123	0.123	0.127	0.127	F	F	ACSVCS (Ferrarese et al. 2006)	core (flat)	F475W	5.05	17.16	1.66	1.6	0.14	0.14	0.01	2.58	216.12	regular-rotators	core-less
NGC4660	191.133209	11.190533	2	5	1	1087	15	-22.69	0.15	-4.7	1.09	1.39	0.441	0.315	G	0.603	0.518	0.553	0.475	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	1.76	16.34	5.61	1.5	0.91	0.91		0.04	2.91	regular-rotators	core
NGC4684	191.822861	-2.727538	1	1	0	1560	13.1	-22.21	0.12	-1.2	1.32	0.7	0.598	0.596	G	0.713	0.665	0.622	0.6	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4690	191.981323	-1.655975	0	0	0	2765	40.2	-22.96	0.13	-3	1.25	0.96	0.266	0.257	G	0.149	0.13	0.151	0.123	S	S	no imaging	not measured	no imaging						unknown					unknown
NGC4694	192.062881	10.983624	0	0	1	1171	16.5	-22.15	0.17	-2	1.47	0.52	0.547	0.546	G	0.275	0.276	0.289	0.295	F	F	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
NGC4697	192.149612	-5.80085	1	8	0	1252	11.4	-23.93	0.13	-4.4	1.79	0.37	0.447	0.447	G	0.363	0.363	0.322	0.322	F	F	ACS (Krajnovic et al. 2013b)	power-law	F475W	2.35	17.35	0.07	0	1.47	0.82	0.09	-0.1	-5.53	regular-rotators	core
NGC4710	192.412323	15.16549	0	0	1	1102	16.5	-23.53	0.13	-0.9	1.48	0.74	0.699	0.395	G	0.731	0.496	0.652	0.456	F	F	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
NGC4733	192.778259	10.912103	1	1	1	925	14.5	-21.8	0.09	-3.8	1.52	0.74	0.06	0.06	G	0.096	0.088	0.086	0.076	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	intermediate	F555W	3.94	20.56	1.82	1.95	0.35	0.35	0.03	1.13	79.63	non-rotating galaxies	core
NGC4753	193.092133	-1.19969	1	3	0	1163	22.9	-25.09	0.14	-1.4	1.69	0.49	0.213	0.213	G	0.537	0.537	0.467	0.467	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC4754	193.073181	11.31366	2	3	1	1351	16.1	-23.64	0.14	-2.5	1.5	0.68	0.48	0.48	G	0.445	0.395	0.467	0.418	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	100	23.83	0.44	4.48	0.42	0.6	0.03	0.01	1.09	regular-rotators	core
NGC4762	193.233536	11.2308	0	2	0	986	22.6	-24.48	0.09	-1.8	1.64	0.4	0.852	0.852	G	0.783	0.783	0.724	0.724	F	F	ACSVCS (Ferrarese et al. 2006)	power-law	F475W	75.32	24	0.47	5.56	0.16	0.4	0.02	0.24	26.4	regular-rotators	core
NGC4803	193.890289	8.240547	0	0	0	2645	39.4	-22.28	0.13	0	0.94	2.02	0.282	0.266	S	0.192	0.063	0.181	0.054	F	S	no imaging	not measured	no imaging						unknown					unknown
NGC5103	200.125229	43.084015	0	0	0	1273	23.4	-22.36	0.08	0	1.02	1.47	0.594	0.4	G	0.588	0.37	0.573	0.386	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5173	202.105301	46.591572	0	0	0	2424	38.4	-22.88	0.12	-4.9	1.01	1.71	0.133	0.124	G	0.164	0.11	0.168	0.106	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F702W	0.79	16.25	3.61	1.35	0.52	0.52	0.02	-0.1	-18.62	regular-rotators	core
NGC5198	202.547546	46.67083	0	0	0	2519	39.6	-24.1	0.1	-4.8	1.38	0.62	0.146	0.151	G	0.074	0.072	0.061	0.057	S	S	Rest et al. (2001)	core (flat)	WFPC2: see Source	0.16	15.4	2.6	1.13	0.23	0.26		0.12	22.17	featureless non-regular rotators	core-less
NGC5273	205.534943	35.65424	1	2	0	1085	16.1	-22.37	0.04	-1.9	1.57	0.61	0.108	0.116	G	0.554	0.512	0.517	0.482	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F606W	0.1	14.95	5	2.84	0.54	1.66	0.02	-0.1	-7.81	regular-rotators	core
NGC5308	206.751633	60.973038	0	6	0	1998	31.5	-24.13	0.08	-2.1	1.25	0.78	0.735	0.637	G	0.641	0.478	0.651	0.51	F	F	ACS (Krajnovic et al. 2013b)	power-law	F475W	0.56	16.15	1.34	1.19	0.78	0.82	0.02	-0.1	-15.27	regular-rotators	core
NGC5322	207.313339	60.190411	1	5	0	1780	30.3	-25.26	0.06	-4.8	1.6	0.56	0.307	0.304	G	0.126	0.121	0.073	0.067	S	S	WPC2/PC1 (Krajnovic et al. 2013b)	core (flat)	F555W	13.87	21.23	0.79	5.22	0.05	0.15	0.05	0.71	104	KDCs (and counter-rotating cores)	core-less
NGC5342	207.85791	59.863014	0	0	0	2189	35.5	-22.61	0.05	-2	0.97	1.51	0.586	0.425	G	0.637	0.41	0.626	0.439	F	F	no imaging	not measured	no imaging						unknown					unknown
